channel_id,url,categ_1_id,language_id,interest,date,rss_url
playpianobyear,https://www.youtube.com/playpianobyear,Piano,?,,2023-11-21 18:21:00,
playpopsongs-piano,https://www.youtube.com/playpopsongs-piano,Piano,Fr,,2023-11-21 18:23:00,UC1ebwJn2QOFo9B96m4fRmEA
podcastscience,https://www.youtube.com/podcastscience,Science,?,,2023-11-21 18:33:00,UC7myUXybJN3i_gLdSBlD_3g
PokerWinamax,https://www.youtube.com/PokerWinamax,Poker,Fr,,2023-11-21 16:17:00,UCFqV9b9ji8yIMw3GyNlueuA
processusthief,https://www.youtube.com/processusthief,Hack,Fr,,2023-11-21 18:21:00,UCqrxDV9EPOlI1YMhzIPed2g
pvnova,https://www.youtube.com/pvnova,Music,Fr,,2023-11-21 18:33:00,UCB0qpLkjzVlVZ4c8nKiCEyw
PyDataTV,https://www.youtube.com/PyDataTV,Python,En,,2023-11-21 18:17:00,UCOjD18EJYcsBog4IozkF_7w
QuestionsdHistoire,https://www.youtube.com/QuestionsdHistoire,History,Fr,,2023-11-21 18:21:00,UCCGRtSqLfljpX9mzCYDsQIg
realpython,https://www.youtube.com/realpython,Python,En,,2023-11-21 16:33:00,UCI0vQvr9aFn27yR6Ej6n5UA
RisqueAlpha,https://www.youtube.com/RisqueAlpha,Stats,Fr,,2023-11-21 18:24:00,UCJ7_Ld2cIVY5MM3NcKW3D8A
robmulla,https://www.youtube.com/robmulla,IA,En,,2023-11-21 18:41:00,
RomainUghetto,https://www.youtube.com/RomainUghetto,Music,Fr,,2023-11-21 18:43:00,UC2_u6eFwn95n_Mwzopm36qg
Science4Allfrancais,https://www.youtube.com/Science4Allfrancais,Science,Fr,,2023-11-21 18:31:00,UC0NCbj8CxzeCGIF6sODJ-7A
Science4allOrg,https://www.youtube.com/Science4allOrg,Science,En,,2023-11-21 18:31:00,UCfqLgK5ajTbqY61mtNV_Agg
ScienceClic,https://www.youtube.com/ScienceClic,Science,Fr,,2023-11-21 18:31:00,UCV6uM3y-8TeO7JlCtcEN-Bg
Sciencedecomptoir,https://www.youtube.com/Sciencedecomptoir,Science,Fr,,2023-11-21 18:17:00,UCE_LWXcsdp7cWbo4DR4ZA-A
ScienceEtonnante,https://www.youtube.com/ScienceEtonnante,Science,Fr,,2023-11-21 18:33:00,UCaNlbnghtwlsGF-KzAFThqA
